datetime,Frequency,HTS_num,HTS_len,LTS_short_len,LTS_long_len,HTS_total
2026-05-27 11:14:00,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-27 11:57:54,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-27 14:46:06,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-27 16:04:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-28 00:59:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-28 05:09:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-28 13:51:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-28 16:48:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-29 01:30:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-29 05:40:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-29 14:19:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-29 17:25:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-30 01:59:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-30 06:09:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-30 14:45:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-30 17:57:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-31 02:26:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-31 06:35:38,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-31 15:08:38,5.0,7.0,0.5,5.0,1.0,3.5
2026-05-31 18:25:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-01 02:54:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-01 07:01:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-01 15:32:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-01 18:52:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-02 03:21:38,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-02 07:27:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-02 15:57:36,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-02 19:17:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-03 03:50:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-03 07:55:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-03 16:24:36,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-03 19:41:36,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-04 04:19:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-04 08:23:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-04 16:54:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-04 20:05:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-05 04:52:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-05 08:54:36,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-05 17:28:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-05 20:33:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-06 05:28:38,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-06 09:28:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-06 18:08:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-06 21:09:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-07 06:11:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-07 10:08:37,5.0,7.0,0.5,5.0,1.0,3.5
2026-06-07 18:57:37,5.0,7.0,0.5,5.0,1.0,3.5
